测深(m)      垂深(m)           方位(°)                 总位移(m)             固井质量                   测井取样
252               252             241.27                    0.51                       优                               1
275               275             241.27                    0.72                       优                               1
300               300             235.82                    0.9                         良                               1
325               325             239.23                    1.09                        良                               1
350               350             243.02                    1.27                       一般                             1    
375               375             245.25                    1.48                       一般                              1
400               399.99         243.12                    1.72                       优                                  1                                                       
425               424.99         238.72                    1.93                        优                                  1
















